anomaly,category name,round,heat,couple,criteria,stdev,threshold,raw data
yes,Rock'n'Roll-Beginners,Final,1,182,DF,2.29,2.0,"[11.25, 10.0, 10.0, 12.5, 6.25, 13.75, 12.5]"
yes,Rock'n'Roll-Beginners,Final,1,182,CO,2.12,2.0,"[8.0, 10.0, 7.0, 12.0, 5.0, 10.0, 9.0]"
,Rock'n'Roll-Beginners,Final,1,182,FM,0.84,1.6,"[6.5, 6.5, 7.5, 6.5, 5.0, 7.5, 7.5]"
,Rock'n'Roll-Beginners,Final,1,182,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,1,182,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Beginners,Final,2,508,DF,3.11,2.0,"[12.5, 6.25, 8.75, 12.5, 5.0, 13.75, 8.75]"
yes,Rock'n'Roll-Beginners,Final,2,508,CO,2.07,2.0,"[9.0, 5.0, 6.0, 11.0, 5.0, 7.0, 6.0]"
,Rock'n'Roll-Beginners,Final,2,508,FM,1.58,1.6,"[6.5, 6.5, 7.5, 6.5, 2.5, 7.5, 6.5]"
,Rock'n'Roll-Beginners,Final,2,508,sm,0.7,2.3,"[0.0, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,2,508,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Beginners,Final,3,150,DF,2.08,2.0,"[11.25, 8.75, 7.5, 13.75, 7.5, 8.75, 10.0]"
,Rock'n'Roll-Beginners,Final,3,150,CO,0.9,2.0,"[8.0, 7.0, 7.0, 9.0, 7.0, 8.0, 6.0]"
,Rock'n'Roll-Beginners,Final,3,150,FM,1.56,1.6,"[5.0, 2.5, 5.0, 2.5, 2.5, 2.5, 6.5]"
,Rock'n'Roll-Beginners,Final,3,150,sm,0.99,2.3,"[0.0, -2.0, 0.0, 0.0, -2.0, 0.0, -2.0]"
,Rock'n'Roll-Beginners,Final,3,150,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Beginners,Final,4,7,DF,3.39,2.0,"[10.0, 8.75, 6.25, 16.25, 5.0, 7.5, 10.0]"
