anomaly,category name,round,heat,couple,criteria,stdev,threshold,raw data
yes,Rock 'n' Roll-Beginners,First round,1,155,DF,2.79,2.0,"[10.0, 13.75, 12.5, 8.75, 8.75, 5.0, 12.5]"
yes,Rock 'n' Roll-Beginners,First round,1,155,CO,2.53,2.0,"[7.0, 11.0, 8.0, 8.0, 9.0, 3.0, 11.0]"
,Rock 'n' Roll-Beginners,First round,1,155,FM,1.04,1.6,"[7.5, 7.5, 6.5, 7.5, 6.5, 5.0, 5.0]"
,Rock 'n' Roll-Beginners,First round,1,155,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock 'n' Roll-Beginners,First round,1,155,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock 'n' Roll-Beginners,First round,1,198,DF,0.94,2.0,"[6.25, 7.5, 8.75, 8.75, 7.5, 7.5, 6.25]"
,Rock 'n' Roll-Beginners,First round,1,198,CO,1.25,2.0,"[5.0, 6.0, 7.0, 6.0, 8.0, 4.0, 5.0]"
yes,Rock 'n' Roll-Beginners,First round,1,198,FM,1.64,1.6,"[6.5, 7.5, 5.0, 7.5, 5.0, 6.5, 2.5]"
yes,Rock 'n' Roll-Beginners,First round,1,198,sm,2.47,2.3,"[-5.0, 0.0, -5.0, -5.0, 0.0, 0.0, -5.0]"
,Rock 'n' Roll-Beginners,First round,1,198,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock 'n' Roll-Beginners,First round,2,199,DF,2.36,2.0,"[11.25, 8.75, 11.25, 12.5, 8.75, 5.0, 11.25]"
,Rock 'n' Roll-Beginners,First round,2,199,CO,1.58,2.0,"[8.0, 6.0, 9.0, 8.0, 8.0, 5.0, 10.0]"
,Rock 'n' Roll-Beginners,First round,2,199,FM,1.12,1.6,"[7.5, 5.0, 6.5, 7.5, 5.0, 5.0, 5.0]"
,Rock 'n' Roll-Beginners,First round,2,199,sm,1.75,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, -5.0, 0.0]"
