anomaly,category name,round,heat,couple,criteria,stdev,threshold,raw data
,Rock'n'Roll-Beginners,Final,1,214,DF,1.58,2.0,"[10.0, 6.25, 10.0, 10.0, 7.5]"
,Rock'n'Roll-Beginners,Final,1,214,CO,1.17,2.0,"[7.0, 7.0, 10.0, 8.0, 7.0]"
,Rock'n'Roll-Beginners,Final,1,214,FM,1.46,1.6,"[6.5, 2.5, 5.0, 5.0, 6.5]"
,Rock'n'Roll-Beginners,Final,1,214,sm,1.5,2.3,"[-4.0, -4.0, -2.0, -2.0, 0.0]"
,Rock'n'Roll-Beginners,Final,1,214,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,2,182,DF,1.58,2.0,"[13.75, 13.75, 13.75, 11.25, 10.0]"
,Rock'n'Roll-Beginners,Final,2,182,CO,1.2,2.0,"[10.0, 8.0, 11.0, 10.0, 8.0]"
,Rock'n'Roll-Beginners,Final,2,182,FM,0.0,1.6,"[6.5, 6.5, 6.5, 6.5, 6.5]"
,Rock'n'Roll-Beginners,Final,2,182,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,2,182,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,3,7,DF,1.84,2.0,"[10.0, 8.75, 8.75, 5.0, 6.25]"
yes,Rock'n'Roll-Beginners,Final,3,7,CO,2.14,2.0,"[8.0, 7.0, 10.0, 5.0, 4.0]"
,Rock'n'Roll-Beginners,Final,3,7,FM,1.22,1.6,"[5.0, 5.0, 5.0, 2.5, 2.5]"
,Rock'n'Roll-Beginners,Final,3,7,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,3,7,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,4,150,DF,1.46,2.0,"[12.5, 11.25, 12.5, 8.75, 10.0]"
,Rock'n'Roll-Beginners,Final,4,150,CO,1.6,2.0,"[9.0, 5.0, 9.0, 6.0, 7.0]"
,Rock'n'Roll-Beginners,Final,4,150,FM,1.57,1.6,"[5.0, 2.5, 5.0, 2.5, 6.5]"
,Rock'n'Roll-Beginners,Final,4,150,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,4,150,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,1,430,DF,1.84,2.0,"[15.0, 16.25, 11.25, 15.0, 12.5]"
,Rock'n'Roll-Juveniles,Final,1,430,CO,1.85,2.0,"[11.0, 14.0, 10.0, 13.0, 9.0]"
,Rock'n'Roll-Juveniles,Final,1,430,FM,1.08,1.6,"[6.5, 9.5, 7.5, 8.5, 9.0]"
,Rock'n'Roll-Juveniles,Final,1,430,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,1,430,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,2,78,DF,0.61,2.0,"[13.75, 12.5, 13.75, 12.5, 12.5]"
,Rock'n'Roll-Juveniles,Final,2,78,CO,0.98,2.0,"[10.0, 10.0, 10.0, 11.0, 8.0]"
,Rock'n'Roll-Juveniles,Final,2,78,FM,0.75,1.6,"[7.5, 8.5, 6.5, 7.5, 8.5]"
,Rock'n'Roll-Juveniles,Final,2,78,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,2,78,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,3,114,DF,1.87,2.0,"[10.0, 10.0, 12.5, 7.5, 7.5]"
,Rock'n'Roll-Juveniles,Final,3,114,CO,1.02,2.0,"[10.0, 9.0, 9.0, 8.0, 7.0]"
,Rock'n'Roll-Juveniles,Final,3,114,FM,0.73,1.6,"[5.0, 6.5, 5.0, 5.0, 6.5]"
,Rock'n'Roll-Juveniles,Final,3,114,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,3,114,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,4,60,DF,0.94,2.0,"[11.25, 11.25, 12.5, 10.0, 10.0]"
,Rock'n'Roll-Juveniles,Final,4,60,CO,0.98,2.0,"[8.0, 8.0, 10.0, 10.0, 8.0]"
,Rock'n'Roll-Juveniles,Final,4,60,FM,0.8,1.6,"[6.5, 8.5, 6.5, 6.5, 6.5]"
,Rock'n'Roll-Juveniles,Final,4,60,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,4,60,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,5,491,DF,1.37,2.0,"[16.25, 16.25, 15.0, 15.0, 18.75]"
,Rock'n'Roll-Juveniles,Final,5,491,CO,1.26,2.0,"[13.0, 13.0, 10.0, 13.0, 11.0]"
,Rock'n'Roll-Juveniles,Final,5,491,FM,1.21,1.6,"[9.5, 10.0, 6.5, 9.0, 9.0]"
,Rock'n'Roll-Juveniles,Final,5,491,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,5,491,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,6,118,DF,0.94,2.0,"[11.25, 12.5, 12.5, 10.0, 11.25]"
,Rock'n'Roll-Juveniles,Final,6,118,CO,1.36,2.0,"[9.0, 9.0, 10.0, 9.0, 6.0]"
,Rock'n'Roll-Juveniles,Final,6,118,FM,1.12,1.6,"[6.5, 5.0, 5.0, 7.5, 7.5]"
,Rock'n'Roll-Juveniles,Final,6,118,sm,0.98,2.3,"[0.0, 0.0, 0.0, -2.0, -2.0]"
,Rock'n'Roll-Juveniles,Final,6,118,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,First round,1,60,DF,2.03,2.0,"[11.25, 11.25, 10.0, 13.75, 7.5]"
,Rock'n'Roll-Juveniles,First round,1,60,CO,1.94,2.0,"[7.0, 7.0, 8.0, 12.0, 7.0]"
,Rock'n'Roll-Juveniles,First round,1,60,FM,1.02,1.6,"[6.5, 8.5, 6.5, 7.5, 9.0]"
,Rock'n'Roll-Juveniles,First round,1,60,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,1,60,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,1,78,DF,0.94,2.0,"[13.75, 15.0, 13.75, 16.25, 15.0]"
,Rock'n'Roll-Juveniles,First round,1,78,CO,1.67,2.0,"[10.0, 7.0, 10.0, 12.0, 11.0]"
,Rock'n'Roll-Juveniles,First round,1,78,FM,0.66,1.6,"[8.5, 9.0, 7.5, 8.5, 9.5]"
,Rock'n'Roll-Juveniles,First round,1,78,sm,0.8,2.3,"[0.0, 0.0, 0.0, -2.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,1,78,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,2,114,DF,1.5,2.0,"[11.25, 8.75, 8.75, 11.25, 7.5]"
,Rock'n'Roll-Juveniles,First round,2,114,CO,1.02,2.0,"[7.0, 8.0, 8.0, 9.0, 6.0]"
,Rock'n'Roll-Juveniles,First round,2,114,FM,0.97,1.6,"[5.0, 5.0, 7.5, 6.5, 6.5]"
,Rock'n'Roll-Juveniles,First round,2,114,sm,0.8,2.3,"[0.0, -2.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,2,114,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,2,491,DF,1.46,2.0,"[16.25, 17.5, 15.0, 15.0, 18.75]"
,Rock'n'Roll-Juveniles,First round,2,491,CO,1.67,2.0,"[12.0, 12.0, 10.0, 15.0, 11.0]"
,Rock'n'Roll-Juveniles,First round,2,491,FM,0.68,1.6,"[9.0, 9.5, 7.5, 8.5, 9.0]"
,Rock'n'Roll-Juveniles,First round,2,491,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,2,491,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,3,153,DF,1.22,2.0,"[10.0, 10.0, 7.5, 7.5, 7.5]"
,Rock'n'Roll-Juveniles,First round,3,153,CO,1.26,2.0,"[7.0, 7.0, 9.0, 7.0, 5.0]"
,Rock'n'Roll-Juveniles,First round,3,153,FM,0.73,1.6,"[5.0, 5.0, 6.5, 5.0, 6.5]"
,Rock'n'Roll-Juveniles,First round,3,153,sm,0.8,2.3,"[-2.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,First round,3,153,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
