anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,150,Rock'n'Roll-Beginners,First round,1,193,DF,1.56,2.3,0.6782608695652175,"[7.5, 10.0, 11.25, 10.0, 12.5, 11.25]"
,150,Rock'n'Roll-Beginners,First round,1,193,CO,1.07,2.0,0.535,"[6.0, 7.0, 8.0, 9.0, 8.0, 9.0]"
,150,Rock'n'Roll-Beginners,First round,1,193,FM,0.93,2.0,0.465,"[6.5, 5.0, 7.5, 7.5, 7.5, 7.5]"
,150,Rock'n'Roll-Beginners,First round,1,193,FW,6.87,14.4,0.4770833333333333,"[-25.0, -35.0, -25.0, -15.0, -25.0, -15.0]"
,150,Rock'n'Roll-Beginners,First round,1,193,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,First round,1,193,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,First round,1,134,DF,1.2,2.3,0.5217391304347826,"[8.75, 7.5, 8.75, 10.0, 11.25, 10.0]"
,150,Rock'n'Roll-Beginners,First round,1,134,CO,1.34,2.0,0.67,"[7.0, 8.0, 7.0, 10.0, 7.0, 10.0]"
,150,Rock'n'Roll-Beginners,First round,1,134,FM,0.82,2.0,0.41,"[8.5, 6.5, 6.5, 8.5, 7.5, 7.5]"
,150,Rock'n'Roll-Beginners,First round,1,134,FW,4.71,14.4,0.32708333333333334,"[-15.0, -25.0, -25.0, -15.0, -25.0, -25.0]"
,150,Rock'n'Roll-Beginners,First round,1,134,sm,1.53,2.3,0.6652173913043479,"[-4.0, 0.0, 0.0, 0.0, -2.0, 0.0]"
,150,Rock'n'Roll-Beginners,First round,1,134,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,First round,2,62,DF,0.59,2.3,0.2565217391304348,"[10.0, 10.0, 10.0, 10.0, 11.25, 11.25]"
,150,Rock'n'Roll-Beginners,First round,2,62,CO,0.69,2.0,0.345,"[7.0, 8.0, 7.0, 8.0, 9.0, 8.0]"
,150,Rock'n'Roll-Beginners,First round,2,62,FM,0.37,2.0,0.185,"[7.5, 6.5, 7.5, 7.5, 7.5, 7.5]"
,150,Rock'n'Roll-Beginners,First round,2,62,FW,6.87,14.4,0.4770833333333333,"[-35.0, -35.0, -15.0, -25.0, -25.0, -25.0]"
,150,Rock'n'Roll-Beginners,First round,2,62,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,First round,2,62,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,First round,2,237,DF,0.59,2.3,0.2565217391304348,"[6.25, 7.5, 7.5, 7.5, 6.25, 7.5]"
,150,Rock'n'Roll-Beginners,First round,2,237,CO,1.25,2.0,0.625,"[5.0, 8.0, 5.0, 6.0, 4.0, 6.0]"
,150,Rock'n'Roll-Beginners,First round,2,237,FM,0.71,2.0,0.355,"[5.0, 5.0, 6.5, 6.5, 5.0, 5.0]"
,150,Rock'n'Roll-Beginners,First round,2,237,FW,14.34,14.4,0.9958333333333333,"[-35.0, -50.0, -35.0, -50.0, -75.0, -35.0]"
,150,Rock'n'Roll-Beginners,First round,2,237,sm,1.37,2.3,0.5956521739130436,"[-2.0, 0.0, 0.0, -2.0, -4.0, -2.0]"
,150,Rock'n'Roll-Beginners,First round,2,237,bm,3.73,8.0,0.46625,"[0.0, -10.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,First round,3,3,DF,1.02,2.3,0.44347826086956527,"[10.0, 10.0, 8.75, 11.25, 8.75, 11.25]"
,150,Rock'n'Roll-Beginners,First round,3,3,CO,1.07,2.0,0.535,"[6.0, 9.0, 6.0, 7.0, 7.0, 8.0]"
,150,Rock'n'Roll-Beginners,First round,3,3,FM,0.47,2.0,0.235,"[6.5, 6.5, 7.5, 7.5, 6.5, 6.5]"
,150,Rock'n'Roll-Beginners,First round,3,3,FW,12.39,14.4,0.8604166666666667,"[-50.0, -25.0, -35.0, -15.0, -35.0, -15.0]"
,150,Rock'n'Roll-Beginners,First round,3,3,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, 0.0, 0.0, 0.0, -2.0]"
,150,Rock'n'Roll-Beginners,First round,3,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,150,Rock'n'Roll-Beginners,First round,3,239,DF,1.12,2.3,0.4869565217391305,"[5.0, 5.0, 5.0, 6.25, 7.5, 7.5]"
,150,Rock'n'Roll-Beginners,First round,3,239,CO,0.75,2.0,0.375,"[4.0, 5.0, 5.0, 6.0, 6.0, 6.0]"
,150,Rock'n'Roll-Beginners,First round,3,239,FM,1.43,2.0,0.715,"[2.5, 6.5, 5.0, 6.5, 6.5, 5.0]"
,150,Rock'n'Roll-Beginners,First round,3,239,FW,8.37,14.4,0.5812499999999999,"[-35.0, -25.0, -25.0, -35.0, -50.0, -35.0]"
,150,Rock'n'Roll-Beginners,First round,3,239,sm,1.63,2.3,0.7086956521739131,"[-4.0, -2.0, -2.0, 0.0, -4.0, 0.0]"
