rt_id,Judge,Type,Category,Round,Heat,Stn,stanica,FW,FM,DF,CO,sm,bm,turnir,krit,val1,val2,val3,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,Acro 7,Acro 8
1275,A,,Rock 'n' Roll-Beginners,First round,1,149,1,-25,6.5,8.75,6,0,0,107,DF,1.5,1,1,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,1,154,1,-15,8.5,15,8,0,0,107,CO,1.5,1.5,1,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,1,154,1,-15,8.5,15,8,0,0,107,DF,2,2,2,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,1,149,1,-25,6.5,8.75,6,0,0,107,CO,1,1,1,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,2,119,1,-35,6.5,8.75,8,0,0,107,CO,1.5,1.5,1,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,2,119,1,-35,6.5,8.75,8,0,0,107,DF,1,1.5,1,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,2,198,1,-75,2.5,6.25,5,-10,0,107,CO,0.5,1,1,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,2,198,1,-75,2.5,6.25,5,-10,0,107,DF,0.5,1,1,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,3,135,1,-25,7.5,13.75,9,0,0,107,DF,1.5,2,2,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,3,197,1,-50,5,11.25,8,0,0,107,CO,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,3,135,1,-25,7.5,13.75,9,0,0,107,CO,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,3,197,1,-50,5,11.25,8,0,0,107,DF,2,1,1.5,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,4,111,1,-15,8.5,16.25,12,-5,0,107,CO,2,2,2,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,4,111,1,-15,8.5,16.25,12,-5,0,107,DF,2,2.5,2,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,4,147,1,-50,5,8.75,7,0,0,107,CO,1.5,1,1,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,4,147,1,-50,5,8.75,7,0,0,107,DF,1,1,1.5,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,5,155,1,-50,2.5,10,6,0,0,107,DF,1,1.5,1.5,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,5,121,1,-75,2.5,8.75,6,0,0,107,CO,1,1,1,0,0,0,0,0,0,-1,-1
1275,A,,Rock 'n' Roll-Beginners,First round,5,121,1,-75,2.5,8.75,6,0,0,107,DF,1,1,1.5,0,0,0,0,0,0,-1,-1
