anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,156,Rock'n'Roll-Beginners,First round,1,55,DF,1.75,2.3,0.7608695652173914,"[10.0, 7.5, 10.0, 5.0, 10.0, 7.5, 7.5]"
,156,Rock'n'Roll-Beginners,First round,1,55,CO,1.05,2.0,0.525,"[6.0, 7.0, 5.0, 4.0, 6.0, 6.0, 4.0]"
,156,Rock'n'Roll-Beginners,First round,1,55,FM,1.36,2.0,0.68,"[5.0, 6.5, 2.5, 5.0, 2.5, 5.0, 5.0]"
,156,Rock'n'Roll-Beginners,First round,1,55,FW,13.32,14.4,0.925,"[-35.0, -50.0, -35.0, -35.0, -75.0, -50.0, -50.0]"
,156,Rock'n'Roll-Beginners,First round,1,55,sm,1.28,2.3,0.5565217391304348,"[-4.0, -2.0, -2.0, -2.0, 0.0, -2.0, 0.0]"
,156,Rock'n'Roll-Beginners,First round,1,55,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,156,Rock'n'Roll-Beginners,First round,1,134,DF,1.69,2.3,0.7347826086956523,"[13.75, 13.75, 11.25, 11.25, 15.0, 16.25, 13.75]"
,156,Rock'n'Roll-Beginners,First round,1,134,CO,1.73,2.0,0.865,"[11.0, 9.0, 8.0, 7.0, 11.0, 12.0, 11.0]"
,156,Rock'n'Roll-Beginners,First round,1,134,FM,1.13,2.0,0.565,"[8.5, 8.5, 7.5, 7.5, 5.0, 6.5, 7.5]"
,156,Rock'n'Roll-Beginners,First round,1,134,FW,9.2,14.4,0.6388888888888888,"[-15.0, -10.0, -15.0, -25.0, -35.0, -35.0, -25.0]"
,156,Rock'n'Roll-Beginners,First round,1,134,sm,1.46,2.3,0.6347826086956522,"[0.0, 0.0, 0.0, 0.0, -4.0, -2.0, 0.0]"
,156,Rock'n'Roll-Beginners,First round,1,134,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,156,Rock'n'Roll-Beginners,First round,2,192,DF,2.36,2.3,1.0260869565217392,"[13.75, 11.25, 6.25, 10.0, 11.25, 7.5, 11.25]"
,156,Rock'n'Roll-Beginners,First round,2,192,CO,1.81,2.0,0.905,"[9.0, 6.0, 7.0, 4.0, 9.0, 5.0, 8.0]"
,156,Rock'n'Roll-Beginners,First round,2,192,FM,1.22,2.0,0.61,"[8.5, 7.5, 7.5, 6.5, 5.0, 5.0, 6.5]"
yes,156,Rock'n'Roll-Beginners,First round,2,192,FW,16.35,14.4,1.1354166666666667,"[-25.0, -25.0, -50.0, -50.0, -75.0, -50.0, -35.0]"
yes,156,Rock'n'Roll-Beginners,First round,2,192,sm,2.32,2.3,1.008695652173913,"[0.0, -2.0, -2.0, -2.0, -6.0, -6.0, 0.0]"
,156,Rock'n'Roll-Beginners,First round,2,192,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,156,Rock'n'Roll-Beginners,First round,2,3,DF,1.47,2.3,0.6391304347826088,"[11.25, 12.5, 11.25, 13.75, 12.5, 12.5, 8.75]"
,156,Rock'n'Roll-Beginners,First round,2,3,CO,0.73,2.0,0.365,"[8.0, 8.0, 8.0, 8.0, 8.0, 10.0, 9.0]"
,156,Rock'n'Roll-Beginners,First round,2,3,FM,1.16,2.0,0.58,"[7.5, 8.5, 7.5, 8.5, 5.0, 6.5, 6.5]"
,156,Rock'n'Roll-Beginners,First round,2,3,FW,8.81,14.4,0.6118055555555556,"[-25.0, -15.0, -35.0, -15.0, -35.0, -35.0, -35.0]"
,156,Rock'n'Roll-Beginners,First round,2,3,sm,0.7,2.3,0.30434782608695654,"[0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0]"
,156,Rock'n'Roll-Beginners,First round,2,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,156,Rock'n'Roll-Beginners,First round,3,239,DF,2.0,2.3,0.8695652173913044,"[11.25, 8.75, 7.5, 5.0, 7.5, 5.0, 7.5]"
,156,Rock'n'Roll-Beginners,First round,3,239,CO,1.29,2.0,0.645,"[7.0, 7.0, 6.0, 4.0, 4.0, 4.0, 6.0]"
,156,Rock'n'Roll-Beginners,First round,3,239,FM,1.39,2.0,0.695,"[6.5, 6.5, 6.5, 5.0, 2.5, 5.0, 6.5]"
yes,156,Rock'n'Roll-Beginners,First round,3,239,FW,15.29,14.4,1.0618055555555554,"[-25.0, -35.0, -35.0, -35.0, -75.0, -50.0, -35.0]"
,156,Rock'n'Roll-Beginners,First round,3,239,sm,0.99,2.3,0.43043478260869567,"[-2.0, -2.0, -2.0, 0.0, 0.0, -2.0, 0.0]"
,156,Rock'n'Roll-Beginners,First round,3,239,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,156,Rock'n'Roll-Beginners,First round,3,131,DF,1.29,2.3,0.5608695652173914,"[11.25, 12.5, 10.0, 10.0, 8.75, 11.25, 8.75]"
,156,Rock'n'Roll-Beginners,First round,3,131,CO,1.29,2.0,0.645,"[7.0, 8.0, 8.0, 4.0, 6.0, 7.0, 6.0]"
,156,Rock'n'Roll-Beginners,First round,3,131,FM,1.58,2.0,0.79,"[7.5, 6.5, 6.5, 7.5, 2.5, 6.5, 6.5]"
,156,Rock'n'Roll-Beginners,First round,3,131,FW,9.95,14.4,0.6909722222222222,"[-35.0, -25.0, -35.0, -15.0, -50.0, -35.0, -35.0]"
,156,Rock'n'Roll-Beginners,First round,3,131,sm,0.99,2.3,0.43043478260869567,"[0.0, 0.0, -2.0, 0.0, -2.0, -2.0, 0.0]"
,156,Rock'n'Roll-Beginners,First round,3,131,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,156,Rock'n'Roll-Beginners,First round,4,240,DF,1.6,2.3,0.6956521739130436,"[11.25, 7.5, 8.75, 6.25, 7.5, 10.0, 7.5]"
,156,Rock'n'Roll-Beginners,First round,4,240,CO,0.93,2.0,0.465,"[6.0, 7.0, 7.0, 5.0, 5.0, 7.0, 5.0]"
