Summary

Number of anomalies per part,nb of anomalies, nb of analysis made,percentage of anomalies
Dancing part,18,510,4%
Acrobatic part,7,270,3%

Number of anomalies per criteria,nb of anomalies, nb of analysis made,percentage of anomalies
Footwork woman (FW),8,85,9%
Dance Figure (DF),3,85,4%
Small mistakes (SM),3,85,4%
Acrobatic figure (Acro 1 to 6),7,270,3%
Choregraphy (CO),2,85,2%
Footwork man (FM),1,85,1%
Big mistakes (BM),1,85,1%

Number of anomalies per group,nb of anomalies, nb of analysis made,percentage of anomalies
Formations,5,90,6%
Juniors,3,84,4%
Adults,17,606,3%

Top 5 anomalies
Rock'n'Roll-Main Class Contact Style,DF,First round,Heat 3 Stn. 28,[11.25 5.0 13.75]
Rock'n'Roll-Main Class Contact Style,Acro 5,Hope round,Heat 4 Stn. 430,[-35.0 -35.0 -75.0]
Rock'n'Roll-Main Class Free Style,bm,Final - Acrobatic,Heat 3 Stn. 63,[0.0 -30.0 -10.0]
Rock'n'Roll-Main Class Contact Style,CO,Hope round,Heat 1 Stn. 28,[9.0 5.0 12.0]
Rock'n'Roll-Juveniles,FW,Final,Heat 3 Stn. 57,[-35.0 -5.0 -15.0 -50.0 -25.0 -50.0]

