anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,152,Rock'n'Roll-Juveniles,Final,2,235,DF,1.02,2.3,0.44347826086956527,"[13.75, 16.25, 13.75, 15.0, 16.25, 15.0]"
,152,Rock'n'Roll-Juveniles,Final,2,235,CO,0.94,2.0,0.47,"[11.0, 11.0, 10.0, 11.0, 12.0, 13.0]"
,152,Rock'n'Roll-Juveniles,Final,2,235,FM,0.73,2.0,0.365,"[7.5, 10.0, 8.5, 8.5, 8.5, 8.5]"
,152,Rock'n'Roll-Juveniles,Final,2,235,FW,7.5,14.4,0.5208333333333334,"[-25.0, 0.0, -10.0, -15.0, -15.0, -10.0]"
,152,Rock'n'Roll-Juveniles,Final,2,235,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juveniles,Final,2,235,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juveniles,Final,3,57,DF,1.18,2.3,0.5130434782608696,"[11.25, 12.5, 8.75, 10.0, 11.25, 11.25]"
,152,Rock'n'Roll-Juveniles,Final,3,57,CO,1.37,2.0,0.685,"[10.0, 7.0, 7.0, 7.0, 10.0, 9.0]"
,152,Rock'n'Roll-Juveniles,Final,3,57,FM,1.55,2.0,0.775,"[6.5, 9.5, 7.5, 5.0, 6.5, 5.0]"
yes,152,Rock'n'Roll-Juveniles,Final,3,57,FW,16.83,14.4,1.16875,"[-35.0, -5.0, -15.0, -50.0, -25.0, -50.0]"
,152,Rock'n'Roll-Juveniles,Final,3,57,sm,0.75,2.3,0.32608695652173914,"[-2.0, -2.0, -2.0, 0.0, -2.0, -2.0]"
,152,Rock'n'Roll-Juveniles,Final,3,57,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juniors,Final,1,491,DF,0.47,2.3,0.20434782608695654,"[11.0, 12.0, 12.0, 11.0, 12.0, 12.0]"
,152,Rock'n'Roll-Juniors,Final,1,491,CO,1.11,2.0,0.555,"[12.0, 11.0, 13.0, 10.0, 11.0, 13.0]"
,152,Rock'n'Roll-Juniors,Final,1,491,FM,0.38,2.0,0.19,"[9.0, 10.0, 9.0, 9.5, 9.0, 9.0]"
,152,Rock'n'Roll-Juniors,Final,1,491,FW,4.71,14.4,0.32708333333333334,"[-10.0, 0.0, -10.0, -5.0, -15.0, -10.0]"
,152,Rock'n'Roll-Juniors,Final,1,491,sm,1.0,2.3,0.4347826086956522,"[-2.0, -2.0, 0.0, -2.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juniors,Final,1,491,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juniors,Final,2,149,DF,0.69,2.3,0.3,"[10.0, 10.0, 9.0, 10.0, 11.0, 9.0]"
,152,Rock'n'Roll-Juniors,Final,2,149,CO,0.75,2.0,0.375,"[10.0, 9.0, 9.0, 10.0, 11.0, 9.0]"
,152,Rock'n'Roll-Juniors,Final,2,149,FM,0.84,2.0,0.42,"[6.5, 8.5, 7.5, 9.0, 8.5, 7.5]"
,152,Rock'n'Roll-Juniors,Final,2,149,FW,5.34,14.4,0.3708333333333333,"[-25.0, -10.0, -15.0, -10.0, -10.0, -15.0]"
,152,Rock'n'Roll-Juniors,Final,2,149,sm,1.0,2.3,0.4347826086956522,"[-2.0, -2.0, 0.0, 0.0, 0.0, -2.0]"
,152,Rock'n'Roll-Juniors,Final,2,149,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juniors,Final,3,155,DF,1.26,2.3,0.5478260869565218,"[7.0, 8.0, 7.0, 4.0, 7.0, 6.0]"
,152,Rock'n'Roll-Juniors,Final,3,155,CO,1.29,2.0,0.645,"[7.0, 6.0, 6.0, 4.0, 8.0, 5.0]"
,152,Rock'n'Roll-Juniors,Final,3,155,FM,0.71,2.0,0.355,"[6.5, 5.0, 5.0, 5.0, 5.0, 6.5]"
,152,Rock'n'Roll-Juniors,Final,3,155,FW,7.07,14.4,0.49097222222222225,"[-35.0, -35.0, -50.0, -50.0, -35.0, -35.0]"
,152,Rock'n'Roll-Juniors,Final,3,155,sm,2.24,2.3,0.973913043478261,"[0.0, 0.0, 0.0, 0.0, -6.0, 0.0]"
,152,Rock'n'Roll-Juniors,Final,3,155,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,152,Rock'n'Roll-Juniors,Final,4,494,DF,1.34,2.3,0.582608695652174,"[12.0, 14.0, 13.0, 12.0, 11.0, 15.0]"
