rt_id,Judge,tip,Category,Round,Heat,Stn,stanica,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,bm,turnir
1728,H,A,Boogie-Woogie-Main Class,Final - slow,3,257,2,0,0,0,0,0,0,0,151
1730,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,148,1,0,0,0,0,0,0,0,151
1730,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,224,1,0,0,0,0,0,0,0,151
1730,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,181,1,0,0,0,0,0,0,0,151
1730,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,300,1,0,0,0,0,0,0,0,151
1730,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,71,1,0,0,0,0,0,0,0,151
1730,A,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,172,1,0,0,0,0,0,0,0,151
1730,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,148,3,0,0,0,0,0,0,0,151
1730,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,224,3,0,0,0,0,0,0,0,151
1730,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,181,3,0,0,0,0,0,0,0,151
1730,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,300,3,0,0,0,0,0,0,0,151
1730,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,71,3,0,0,0,0,0,0,0,151
1730,C,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,172,3,0,0,0,0,0,0,0,151
1730,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,1,148,4,0,0,0,0,0,0,0,151
1730,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,2,224,4,0,0,0,0,0,0,0,151
1730,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,3,181,4,0,0,0,0,0,0,0,151
1730,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,4,300,4,0,0,0,0,0,0,0,151
1730,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,5,71,4,0,0,0,0,0,0,0,151
1730,D,A,Rock'n'Roll-Main Class Contact Style,Final - Foot technique,6,172,4,0,0,0,0,0,0,0,151
1731,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,1,263,3,0,0,0,0,0,0,0,151
1731,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,2,90,3,0,0,0,0,0,0,0,151
1731,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,3,41,3,0,0,0,0,0,0,0,151
1731,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,4,184,3,0,0,0,0,0,0,0,151
1731,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,5,47,3,0,0,0,0,0,0,0,151
1731,C,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,6,86,3,0,0,0,0,0,0,0,151
1731,E,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,1,263,5,0,0,0,0,0,0,0,151
1731,E,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,2,90,5,0,0,0,0,0,0,0,151
1731,E,A,Rock'n'Roll-Main Class Free Style,Final - Foot technique,3,41,5,0,0,0,0,0,0,0,151
