anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
yes,142,Rock'n'Roll-Beginners,First round,1,131,DF,3.44,2.3,1.4956521739130435,"[7.5, 3.75, 7.5, 6.25, 8.75, 15.0]"
yes,142,Rock'n'Roll-Beginners,First round,1,131,CO,2.41,2.0,1.205,"[6.0, 5.0, 5.0, 6.0, 7.0, 12.0]"
,142,Rock'n'Roll-Beginners,First round,1,131,FM,0.47,2.0,0.235,"[6.5, 6.5, 7.5, 6.5, 6.5, 7.5]"
,142,Rock'n'Roll-Beginners,First round,1,131,FW,11.79,14.4,0.8187499999999999,"[-35.0, -50.0, -50.0, -35.0, -35.0, -15.0]"
,142,Rock'n'Roll-Beginners,First round,1,131,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, 0.0, 0.0, -2.0, 0.0]"
,142,Rock'n'Roll-Beginners,First round,1,131,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,142,Rock'n'Roll-Beginners,First round,1,193,DF,1.68,2.3,0.7304347826086957,"[10.0, 10.0, 11.25, 11.25, 11.25, 15.0]"
yes,142,Rock'n'Roll-Beginners,First round,1,193,CO,2.14,2.0,1.07,"[7.0, 7.0, 7.0, 5.0, 7.0, 12.0]"
,142,Rock'n'Roll-Beginners,First round,1,193,FM,1.35,2.0,0.675,"[6.5, 6.5, 8.5, 8.5, 8.5, 5.0]"
,142,Rock'n'Roll-Beginners,First round,1,193,FW,6.24,14.4,0.43333333333333335,"[-25.0, -25.0, -10.0, -15.0, -15.0, -10.0]"
,142,Rock'n'Roll-Beginners,First round,1,193,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,142,Rock'n'Roll-Beginners,First round,1,193,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,142,Rock'n'Roll-Beginners,First round,2,57,DF,2.0,2.3,0.8695652173913044,"[12.5, 8.75, 11.25, 12.5, 10.0, 15.0]"
,142,Rock'n'Roll-Beginners,First round,2,57,CO,1.67,2.0,0.835,"[11.0, 6.0, 7.0, 9.0, 7.0, 9.0]"
,142,Rock'n'Roll-Beginners,First round,2,57,FM,1.1,2.0,0.55,"[6.5, 7.5, 5.0, 8.5, 7.5, 6.5]"
,142,Rock'n'Roll-Beginners,First round,2,57,FW,7.45,14.4,0.5173611111111112,"[-35.0, -15.0, -25.0, -15.0, -15.0, -25.0]"
,142,Rock'n'Roll-Beginners,First round,2,57,sm,1.8,2.3,0.782608695652174,"[-2.0, 0.0, -4.0, 0.0, -4.0, -4.0]"
,142,Rock'n'Roll-Beginners,First round,2,57,bm,3.73,8.0,0.46625,"[0.0, -10.0, 0.0, 0.0, 0.0, 0.0]"
,142,Rock'n'Roll-Beginners,First round,2,3,DF,1.83,2.3,0.7956521739130435,"[8.75, 6.25, 7.5, 8.75, 11.25, 11.25]"
,142,Rock'n'Roll-Beginners,First round,2,3,CO,1.21,2.0,0.605,"[9.0, 6.0, 7.0, 7.0, 9.0, 9.0]"
,142,Rock'n'Roll-Beginners,First round,2,3,FM,0.69,2.0,0.345,"[6.5, 7.5, 6.5, 7.5, 8.5, 7.5]"
,142,Rock'n'Roll-Beginners,First round,2,3,FW,6.87,14.4,0.4770833333333333,"[-35.0, -25.0, -25.0, -25.0, -15.0, -35.0]"
,142,Rock'n'Roll-Beginners,First round,2,3,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,142,Rock'n'Roll-Beginners,First round,2,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,142,Rock'n'Roll-Beginners,First round,3,192,DF,2.13,2.3,0.9260869565217391,"[12.5, 10.0, 11.25, 13.75, 8.75, 15.0]"
,142,Rock'n'Roll-Beginners,First round,3,192,CO,1.77,2.0,0.885,"[11.0, 7.0, 6.0, 8.0, 7.0, 10.0]"
,142,Rock'n'Roll-Beginners,First round,3,192,FM,1.02,2.0,0.51,"[7.5, 6.5, 9.0, 8.5, 6.5, 6.5]"
,142,Rock'n'Roll-Beginners,First round,3,192,FW,9.32,14.4,0.6472222222222223,"[-25.0, -25.0, -25.0, -25.0, -50.0, -25.0]"
,142,Rock'n'Roll-Beginners,First round,3,192,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, 0.0, 0.0, 0.0, -2.0]"
,142,Rock'n'Roll-Beginners,First round,3,192,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,142,Rock'n'Roll-Beginners,First round,3,27,DF,2.21,2.3,0.9608695652173913,"[10.0, 6.25, 10.0, 5.0, 8.75, 11.25]"
,142,Rock'n'Roll-Beginners,First round,3,27,CO,1.89,2.0,0.945,"[7.0, 5.0, 9.0, 7.0, 7.0, 11.0]"
,142,Rock'n'Roll-Beginners,First round,3,27,FM,1.48,2.0,0.74,"[6.5, 8.5, 9.5, 5.0, 6.5, 6.5]"
,142,Rock'n'Roll-Beginners,First round,3,27,FW,8.98,14.4,0.6236111111111111,"[-35.0, -50.0, -25.0, -50.0, -35.0, -35.0]"
,142,Rock'n'Roll-Beginners,First round,3,27,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,142,Rock'n'Roll-Beginners,First round,3,27,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,142,Rock'n'Roll-Beginners,First round,4,214,DF,2.64,2.3,1.1478260869565218,"[12.5, 7.5, 11.25, 10.0, 11.25, 16.25]"
yes,142,Rock'n'Roll-Beginners,First round,4,214,CO,2.13,2.0,1.065,"[11.0, 6.0, 6.0, 7.0, 9.0, 11.0]"
,142,Rock'n'Roll-Beginners,First round,4,214,FM,0.47,2.0,0.235,"[7.5, 7.5, 7.5, 8.5, 7.5, 8.5]"
,142,Rock'n'Roll-Beginners,First round,4,214,FW,6.87,14.4,0.4770833333333333,"[-25.0, -25.0, -15.0, -35.0, -25.0, -15.0]"
,142,Rock'n'Roll-Beginners,First round,4,214,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,142,Rock'n'Roll-Beginners,First round,4,214,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,142,Rock'n'Roll-Beginners,Final,1,57,DF,1.68,2.3,0.7304347826086957,"[11.25, 8.75, 7.5, 11.25, 10.0, 12.5]"
,142,Rock'n'Roll-Beginners,Final,1,57,CO,1.61,2.0,0.805,"[11.0, 7.0, 6.0, 9.0, 9.0, 9.0]"
,142,Rock'n'Roll-Beginners,Final,1,57,FM,1.21,2.0,0.605,"[6.5, 6.5, 6.5, 7.5, 9.0, 5.0]"
,142,Rock'n'Roll-Beginners,Final,1,57,FW,12.13,14.4,0.8423611111111111,"[-35.0, -50.0, -25.0, -35.0, -10.0, -35.0]"
,142,Rock'n'Roll-Beginners,Final,1,57,sm,1.63,2.3,0.7086956521739131,"[-2.0, 0.0, -4.0, 0.0, -2.0, -4.0]"
,142,Rock'n'Roll-Beginners,Final,1,57,bm,3.73,8.0,0.46625,"[0.0, -10.0, 0.0, 0.0, 0.0, 0.0]"
,142,Rock'n'Roll-Beginners,Final,2,27,DF,0.95,2.3,0.41304347826086957,"[8.75, 8.75, 8.75, 8.75, 10.0, 11.25]"
,142,Rock'n'Roll-Beginners,Final,2,27,CO,1.26,2.0,0.63,"[10.0, 7.0, 7.0, 9.0, 8.0, 10.0]"
,142,Rock'n'Roll-Beginners,Final,2,27,FM,1.31,2.0,0.655,"[5.0, 7.5, 8.5, 5.0, 7.5, 6.5]"
yes,142,Rock'n'Roll-Beginners,Final,2,27,FW,16.27,14.4,1.129861111111111,"[-35.0, -50.0, -35.0, -75.0, -25.0, -35.0]"
,142,Rock'n'Roll-Beginners,Final,2,27,sm,0.75,2.3,0.32608695652173914,"[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,142,Rock'n'Roll-Beginners,Final,2,27,bm,3.73,8.0,0.46625,"[0.0, 0.0, 0.0, 0.0, -10.0, 0.0]"
,142,Rock'n'Roll-Beginners,Final,3,193,DF,1.44,2.3,0.6260869565217392,"[8.75, 8.75, 8.75, 10.0, 11.25, 12.5]"
,142,Rock'n'Roll-Beginners,Final,3,193,CO,1.53,2.0,0.765,"[8.0, 7.0, 6.0, 8.0, 8.0, 11.0]"
,142,Rock'n'Roll-Beginners,Final,3,193,FM,0.71,2.0,0.355,"[6.5, 5.0, 5.0, 6.5, 6.5, 6.5]"
,142,Rock'n'Roll-Beginners,Final,3,193,FW,6.87,14.4,0.4770833333333333,"[-35.0, -25.0, -15.0, -25.0, -25.0, -35.0]"
,142,Rock'n'Roll-Beginners,Final,3,193,sm,1.0,2.3,0.4347826086956522,"[-2.0, 0.0, -2.0, -2.0, 0.0, 0.0]"
,142,Rock'n'Roll-Beginners,Final,3,193,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,142,Rock'n'Roll-Beginners,Final,4,3,DF,1.68,2.3,0.7304347826086957,"[8.75, 6.25, 7.5, 7.5, 10.0, 11.25]"
,142,Rock'n'Roll-Beginners,Final,4,3,CO,1.77,2.0,0.885,"[8.0, 4.0, 5.0, 8.0, 7.0, 9.0]"
,142,Rock'n'Roll-Beginners,Final,4,3,FM,0.56,2.0,0.28,"[6.5, 6.5, 5.0, 6.5, 6.5, 6.5]"
,142,Rock'n'Roll-Beginners,Final,4,3,FW,7.5,14.4,0.5208333333333334,"[-50.0, -50.0, -35.0, -35.0, -50.0, -35.0]"
,142,Rock'n'Roll-Beginners,Final,4,3,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,142,Rock'n'Roll-Beginners,Final,4,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,142,Rock'n'Roll-Beginners,Final,5,214,DF,2.33,2.3,1.0130434782608697,"[12.5, 11.25, 7.5, 10.0, 10.0, 15.0]"
,142,Rock'n'Roll-Beginners,Final,5,214,CO,1.97,2.0,0.985,"[9.0, 9.0, 6.0, 7.0, 7.0, 12.0]"
