anomaly,category name,round,heat,couple,criteria,stdev,threshold,raw data
,Rock'n'Roll-Beginners,Final,1,134,DF,1.18,2.0,"[10.0, 11.25, 11.25, 13.75, 11.25, 12.5]"
yes,Rock'n'Roll-Beginners,Final,1,134,CO,2.05,2.0,"[8.0, 9.0, 5.0, 11.0, 8.0, 11.0]"
,Rock'n'Roll-Beginners,Final,1,134,FM,0.94,12.0,"[8.5, 8.5, 6.5, 8.5, 6.5, 8.5]"
,Rock'n'Roll-Beginners,Final,1,134,FW,6.24,12.0,"[-15.0, -10.0, -25.0, -15.0, -25.0, -10.0]"
,Rock'n'Roll-Beginners,Final,1,134,sm,0.94,2.3,"[0.0, 0.0, 0.0, 0.0, -2.0, -2.0]"
,Rock'n'Roll-Beginners,Final,1,134,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,2,131,DF,1.86,2.0,"[7.5, 10.0, 10.0, 10.0, 13.75, 11.25]"
,Rock'n'Roll-Beginners,Final,2,131,CO,1.15,2.0,"[6.0, 8.0, 7.0, 9.0, 9.0, 9.0]"
,Rock'n'Roll-Beginners,Final,2,131,FM,0.0,12.0,"[7.5, 7.5, 7.5, 7.5, 7.5, 7.5]"
,Rock'n'Roll-Beginners,Final,2,131,FW,6.87,12.0,"[-35.0, -15.0, -15.0, -25.0, -25.0, -25.0]"
,Rock'n'Roll-Beginners,Final,2,131,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,2,131,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,3,193,DF,1.83,2.0,"[10.0, 13.75, 10.0, 12.5, 15.0, 12.5]"
,Rock'n'Roll-Beginners,Final,3,193,CO,1.57,2.0,"[8.0, 11.0, 8.0, 11.0, 12.0, 9.0]"
,Rock'n'Roll-Beginners,Final,3,193,FM,0.47,12.0,"[8.5, 8.5, 7.5, 7.5, 7.5, 7.5]"
,Rock'n'Roll-Beginners,Final,3,193,FW,2.36,12.0,"[-15.0, -10.0, -15.0, -10.0, -15.0, -15.0]"
,Rock'n'Roll-Beginners,Final,3,193,sm,0.75,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, -2.0]"
,Rock'n'Roll-Beginners,Final,3,193,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Beginners,Final,4,62,DF,2.47,2.0,"[6.25, 8.75, 7.5, 10.0, 13.75, 11.25]"
,Rock'n'Roll-Beginners,Final,4,62,CO,1.53,2.0,"[7.0, 7.0, 6.0, 8.0, 10.0, 10.0]"
,Rock'n'Roll-Beginners,Final,4,62,FM,1.1,12.0,"[8.5, 6.5, 5.0, 7.5, 7.5, 6.5]"
,Rock'n'Roll-Beginners,Final,4,62,FW,5.77,12.0,"[-15.0, -25.0, -35.0, -25.0, -25.0, -25.0]"
,Rock'n'Roll-Beginners,Final,4,62,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,4,62,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Beginners,Final,5,57,DF,2.39,2.0,"[7.5, 13.75, 8.75, 12.5, 13.75, 11.25]"
,Rock'n'Roll-Beginners,Final,5,57,CO,1.77,2.0,"[7.0, 7.0, 5.0, 10.0, 8.0, 10.0]"
,Rock'n'Roll-Beginners,Final,5,57,FM,0.37,12.0,"[7.5, 7.5, 6.5, 7.5, 7.5, 7.5]"
,Rock'n'Roll-Beginners,Final,5,57,FW,7.45,12.0,"[-25.0, -15.0, -35.0, -15.0, -15.0, -25.0]"
,Rock'n'Roll-Beginners,Final,5,57,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,5,57,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,6,27,DF,1.52,2.0,"[10.0, 12.5, 12.5, 12.5, 8.75, 10.0]"
,Rock'n'Roll-Beginners,Final,6,27,CO,1.25,2.0,"[8.0, 9.0, 8.0, 10.0, 6.0, 9.0]"
,Rock'n'Roll-Beginners,Final,6,27,FM,0.8,12.0,"[7.5, 7.5, 9.0, 8.5, 6.5, 7.5]"
,Rock'n'Roll-Beginners,Final,6,27,FW,5.0,12.0,"[-35.0, -35.0, -25.0, -25.0, -25.0, -35.0]"
yes,Rock'n'Roll-Beginners,Final,6,27,sm,3.35,2.3,"[-6.0, -10.0, -2.0, -2.0, -6.0, 0.0]"
yes,Rock'n'Roll-Beginners,Final,6,27,bm,3.73,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, -10.0]"
,Rock'n'Roll-Beginners,First round,1,193,DF,1.56,2.0,"[7.5, 10.0, 11.25, 10.0, 12.5, 11.25]"
,Rock'n'Roll-Beginners,First round,1,193,CO,1.07,2.0,"[6.0, 7.0, 8.0, 9.0, 8.0, 9.0]"
,Rock'n'Roll-Beginners,First round,1,193,FM,0.93,12.0,"[6.5, 5.0, 7.5, 7.5, 7.5, 7.5]"
,Rock'n'Roll-Beginners,First round,1,193,FW,6.87,12.0,"[-25.0, -35.0, -25.0, -15.0, -25.0, -15.0]"
,Rock'n'Roll-Beginners,First round,1,193,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,First round,1,193,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
