anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,148,Rock'n'Roll-Beginners,Final,1,134,DF,1.25,2.0,0.625,"[11.25, 10.0, 13.75, 10.0, 11.25, 11.25]"
,148,Rock'n'Roll-Beginners,Final,1,134,CO,0.37,2.0,0.185,"[9.0, 9.0, 9.0, 9.0, 8.0, 9.0]"
,148,Rock'n'Roll-Beginners,Final,1,134,FM,1.57,2.0,0.785,"[6.5, 5.0, 8.5, 7.5, 9.0, 5.0]"
yes,148,Rock'n'Roll-Beginners,Final,1,134,FW,13.44,12.0,1.1199999999999999,"[-35.0, -35.0, -15.0, -25.0, -10.0, -50.0]"
yes,148,Rock'n'Roll-Beginners,Final,1,134,sm,2.92,2.3,1.2695652173913043,"[-8.0, 0.0, 0.0, 0.0, 0.0, -2.0]"
,148,Rock'n'Roll-Beginners,Final,1,134,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,148,Rock'n'Roll-Beginners,Final,2,131,DF,1.44,2.0,0.72,"[10.0, 12.5, 10.0, 11.25, 13.75, 10.0]"
,148,Rock'n'Roll-Beginners,Final,2,131,CO,1.15,2.0,0.575,"[7.0, 7.0, 8.0, 7.0, 10.0, 9.0]"
,148,Rock'n'Roll-Beginners,Final,2,131,FM,0.47,2.0,0.235,"[7.5, 7.5, 6.5, 7.5, 7.5, 6.5]"
,148,Rock'n'Roll-Beginners,Final,2,131,FW,10.27,12.0,0.8558333333333333,"[-25.0, -25.0, -35.0, -50.0, -35.0, -50.0]"
,148,Rock'n'Roll-Beginners,Final,2,131,sm,1.37,2.3,0.5956521739130436,"[-2.0, -4.0, 0.0, 0.0, -2.0, -2.0]"
,148,Rock'n'Roll-Beginners,Final,2,131,bm,3.73,8.0,0.46625,"[0.0, 0.0, -10.0, 0.0, 0.0, 0.0]"
,148,Rock'n'Roll-Beginners,Final,3,3,DF,1.56,2.0,0.78,"[8.75, 11.25, 8.75, 6.25, 10.0, 10.0]"
,148,Rock'n'Roll-Beginners,Final,3,3,CO,1.07,2.0,0.535,"[6.0, 8.0, 9.0, 7.0, 8.0, 9.0]"
,148,Rock'n'Roll-Beginners,Final,3,3,FM,0.71,2.0,0.355,"[5.0, 6.5, 6.5, 5.0, 5.0, 5.0]"
,148,Rock'n'Roll-Beginners,Final,3,3,FW,11.79,12.0,0.9824999999999999,"[-25.0, -50.0, -50.0, -50.0, -25.0, -50.0]"
,148,Rock'n'Roll-Beginners,Final,3,3,sm,1.0,2.3,0.4347826086956522,"[-2.0, 0.0, 0.0, 0.0, -2.0, -2.0]"
,148,Rock'n'Roll-Beginners,Final,3,3,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,148,Rock'n'Roll-Beginners,Final,4,57,DF,2.0,2.0,1.0,"[7.5, 12.5, 10.0, 10.0, 13.75, 11.25]"
yes,148,Rock'n'Roll-Beginners,Final,4,57,CO,2.05,2.0,1.025,"[7.0, 11.0, 8.0, 9.0, 13.0, 8.0]"
,148,Rock'n'Roll-Beginners,Final,4,57,FM,1.44,2.0,0.72,"[6.5, 7.5, 5.0, 7.5, 9.0, 5.0]"
