anomaly,category name,round,heat,couple,criteria,stdev,threshold,raw data
,Rock'n'Roll-Beginners,Final,1,7,DF,1.59,2.0,"[10.0, 11.25, 8.75, 8.75, 10.0, 8.75, 10.0, 13.75]"
,Rock'n'Roll-Beginners,Final,1,7,CO,1.94,2.0,"[7.0, 8.0, 6.0, 4.0, 8.0, 7.0, 9.0, 11.0]"
,Rock'n'Roll-Beginners,Final,1,7,FM,1.29,1.6,"[5.0, 5.0, 2.5, 2.5, 6.5, 5.0, 5.0, 5.0]"
,Rock'n'Roll-Beginners,Final,1,7,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,1,7,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,2,508,DF,1.25,2.0,"[10.0, 12.5, 11.25, 10.0, 10.0, 12.5, 8.75, 10.0]"
,Rock'n'Roll-Beginners,Final,2,508,CO,1.73,2.0,"[9.0, 10.0, 8.0, 5.0, 11.0, 9.0, 9.0, 7.0]"
,Rock'n'Roll-Beginners,Final,2,508,FM,0.9,1.6,"[7.5, 6.5, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]"
,Rock'n'Roll-Beginners,Final,2,508,sm,0.66,2.3,"[0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,2,508,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,3,150,DF,0.83,2.0,"[11.25, 10.0, 8.75, 11.25, 10.0, 10.0, 11.25, 10.0]"
,Rock'n'Roll-Beginners,Final,3,150,CO,1.56,2.0,"[8.0, 8.0, 6.0, 5.0, 5.0, 9.0, 8.0, 9.0]"
,Rock'n'Roll-Beginners,Final,3,150,FM,1.02,1.6,"[5.0, 5.0, 5.0, 5.0, 5.0, 2.5, 6.5, 5.0]"
,Rock'n'Roll-Beginners,Final,3,150,sm,1.0,2.3,"[-2.0, -2.0, -2.0, -2.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Beginners,Final,3,150,bm,3.31,3.0,"[0.0, 0.0, 0.0, 0.0, -10.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,4,214,DF,1.46,2.0,"[13.75, 11.25, 11.25, 10.0, 12.5, 8.75, 12.5, 11.25]"
yes,Rock'n'Roll-Beginners,Final,4,214,CO,2.09,2.0,"[11.0, 10.0, 6.0, 6.0, 11.0, 7.0, 11.0, 9.0]"
,Rock'n'Roll-Beginners,Final,4,214,FM,1.29,1.6,"[7.5, 7.5, 5.0, 5.0, 8.5, 6.5, 8.5, 6.5]"
,Rock'n'Roll-Beginners,Final,4,214,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,4,214,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,5,155,DF,1.74,2.0,"[11.25, 11.25, 7.5, 7.5, 11.25, 10.0, 12.5, 11.25]"
,Rock'n'Roll-Beginners,Final,5,155,CO,1.93,2.0,"[7.0, 8.0, 5.0, 5.0, 9.0, 7.0, 11.0, 9.0]"
,Rock'n'Roll-Beginners,Final,5,155,FM,0.65,1.6,"[6.5, 5.0, 5.0, 6.5, 5.0, 5.0, 5.0, 5.0]"
,Rock'n'Roll-Beginners,Final,5,155,sm,2.0,2.3,"[-2.0, -4.0, 0.0, -2.0, -2.0, -6.0, -2.0, -6.0]"
yes,Rock'n'Roll-Beginners,Final,5,155,bm,4.33,3.0,"[-10.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,1,118,DF,1.5,2.0,"[13.75, 11.25, 8.75, 11.25, 10.0, 10.0, 12.5, 10.0]"
yes,Rock'n'Roll-Juveniles,Final,1,118,CO,2.23,2.0,"[9.0, 10.0, 6.0, 7.0, 13.0, 10.0, 12.0, 8.0]"
,Rock'n'Roll-Juveniles,Final,1,118,FM,1.09,1.6,"[6.5, 6.5, 5.0, 5.0, 5.0, 7.5, 7.5, 7.5]"
,Rock'n'Roll-Juveniles,Final,1,118,sm,0.87,2.3,"[-2.0, 0.0, -2.0, -2.0, -2.0, -2.0, 0.0, -2.0]"
,Rock'n'Roll-Juveniles,Final,1,118,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,Final,2,78,DF,3.23,2.0,"[20.0, 15.0, 12.5, 13.75, 22.5, 13.75, 17.5, 17.5]"
,Rock'n'Roll-Juveniles,Final,2,78,CO,1.8,2.0,"[13.0, 13.0, 10.0, 10.0, 16.0, 12.0, 13.0, 13.0]"
,Rock'n'Roll-Juveniles,Final,2,78,FM,0.96,1.6,"[9.0, 8.5, 6.5, 6.5, 8.5, 9.0, 8.5, 8.5]"
,Rock'n'Roll-Juveniles,Final,2,78,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Juveniles,Final,2,78,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Juveniles,Final,3,491,DF,2.16,2.0,"[20.0, 17.5, 15.0, 15.0, 21.25, 17.5, 17.5, 20.0]"
