anomaly,category name,round,heat,couple,criteria,stdev,threshold,raw data
,Rock 'n' Roll-Beginners,First round,1,149,DF,1.46,2.0,"[7.5, 7.5, 11.25, 10.0, 8.75]"
,Rock 'n' Roll-Beginners,First round,1,149,CO,1.26,2.0,"[7.0, 7.0, 10.0, 9.0, 7.0]"
,Rock 'n' Roll-Beginners,First round,1,149,FM,1.58,1.6,"[2.5, 5.0, 7.5, 5.0, 5.0]"
,Rock 'n' Roll-Beginners,First round,1,149,sm,0.0,2.3,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock 'n' Roll-Beginners,First round,1,149,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock 'n' Roll-Beginners,First round,1,199,DF,1.22,2.0,"[10.0, 7.5, 11.25, 10.0, 10.0]"
,Rock 'n' Roll-Beginners,First round,1,199,CO,1.1,2.0,"[7.0, 7.0, 10.0, 8.0, 8.0]"
,Rock 'n' Roll-Beginners,First round,1,199,FM,1.57,1.6,"[5.0, 6.5, 2.5, 5.0, 2.5]"
yes,Rock 'n' Roll-Beginners,First round,1,199,sm,3.16,2.3,"[-5.0, 0.0, -5.0, -5.0, -10.0]"
,Rock 'n' Roll-Beginners,First round,1,199,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock 'n' Roll-Beginners,First round,2,135,DF,1.46,2.0,"[13.75, 10.0, 12.5, 11.25, 13.75]"
,Rock 'n' Roll-Beginners,First round,2,135,CO,1.1,2.0,"[12.0, 9.0, 10.0, 9.0, 10.0]"
,Rock 'n' Roll-Beginners,First round,2,135,FM,0.8,1.6,"[6.5, 7.5, 8.5, 6.5, 6.5]"
,Rock 'n' Roll-Beginners,First round,2,135,sm,2.0,2.3,"[0.0, 0.0, 0.0, -5.0, 0.0]"
,Rock 'n' Roll-Beginners,First round,2,135,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock 'n' Roll-Beginners,First round,2,508,DF,3.98,2.0,"[12.5, 7.5, 8.75, 18.75, 10.0]"
yes,Rock 'n' Roll-Beginners,First round,2,508,CO,2.06,2.0,"[9.0, 6.0, 9.0, 12.0, 7.0]"
yes,Rock 'n' Roll-Beginners,First round,2,508,FM,1.69,1.6,"[5.0, 6.5, 2.5, 7.5, 5.0]"
yes,Rock 'n' Roll-Beginners,First round,2,508,sm,2.45,2.3,"[-5.0, 0.0, 0.0, 0.0, -5.0]"
,Rock 'n' Roll-Beginners,First round,2,508,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock 'n' Roll-Beginners,First round,3,111,DF,1.12,2.0,"[13.75, 12.5, 12.5, 15.0, 15.0]"
,Rock 'n' Roll-Beginners,First round,3,111,CO,0.75,2.0,"[11.0, 11.0, 12.0, 12.0, 10.0]"
,Rock 'n' Roll-Beginners,First round,3,111,FM,0.49,1.6,"[7.5, 8.5, 8.5, 7.5, 7.5]"
yes,Rock 'n' Roll-Beginners,First round,3,111,sm,2.45,2.3,"[0.0, -5.0, 0.0, -5.0, 0.0]"
,Rock 'n' Roll-Beginners,First round,3,111,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock 'n' Roll-Beginners,First round,3,150,DF,2.03,2.0,"[11.25, 6.25, 7.5, 10.0, 11.25]"
,Rock 'n' Roll-Beginners,First round,3,150,CO,1.72,2.0,"[9.0, 5.0, 10.0, 7.0, 8.0]"
,Rock 'n' Roll-Beginners,First round,3,150,FM,0.73,1.6,"[5.0, 5.0, 6.5, 6.5, 5.0]"
,Rock 'n' Roll-Beginners,First round,3,150,sm,2.0,2.3,"[0.0, 0.0, 0.0, -5.0, 0.0]"
,Rock 'n' Roll-Beginners,First round,3,150,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock 'n' Roll-Beginners,First round,4,121,DF,1.77,2.0,"[6.25, 8.75, 10.0, 7.5, 5.0]"
,Rock 'n' Roll-Beginners,First round,4,121,CO,1.96,2.0,"[6.0, 10.0, 10.0, 6.0, 6.0]"
yes,Rock 'n' Roll-Beginners,First round,4,121,FM,1.66,1.6,"[2.5, 2.5, 6.5, 5.0, 2.5]"
yes,Rock 'n' Roll-Beginners,First round,4,121,sm,2.45,2.3,"[0.0, 0.0, 0.0, -5.0, -5.0]"
