anomaly,category name,round,heat,couple,criteria,stdev,threshold,raw data
yes,Rock'n'Roll-Beginners,Final,1,150,DF,2.26,2.0,"[8.75, 7.5, 10.0, 7.5, 11.25, 12.5, 13.75]"
,Rock'n'Roll-Beginners,Final,1,150,CO,1.39,2.0,"[6.0, 6.0, 10.0, 7.0, 8.0, 9.0, 8.0]"
,Rock'n'Roll-Beginners,Final,1,150,FM,1.09,1.6,"[6.5, 5.0, 6.5, 6.5, 8.5, 5.0, 6.5]"
,Rock'n'Roll-Beginners,Final,1,150,sm,0.9,2.3,"[-2.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,1,150,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
yes,Rock'n'Roll-Beginners,Final,2,508,DF,2.45,2.0,"[10.0, 10.0, 11.25, 6.25, 7.5, 13.75, 12.5]"
,Rock'n'Roll-Beginners,Final,2,508,CO,1.91,2.0,"[8.0, 7.0, 10.0, 6.0, 7.0, 12.0, 8.0]"
,Rock'n'Roll-Beginners,Final,2,508,FM,0.93,1.6,"[6.5, 5.0, 7.5, 5.0, 5.0, 6.5, 6.5]"
,Rock'n'Roll-Beginners,Final,2,508,sm,0.9,2.3,"[0.0, 0.0, -2.0, -2.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,2,508,bm,0.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,Rock'n'Roll-Beginners,Final,3,182,DF,1.13,2.0,"[13.75, 11.25, 13.75, 15.0, 12.5, 13.75, 12.5]"
,Rock'n'Roll-Beginners,Final,3,182,CO,1.4,2.0,"[11.0, 9.0, 12.0, 10.0, 10.0, 13.0, 9.0]"
,Rock'n'Roll-Beginners,Final,3,182,FM,0.84,1.6,"[7.5, 5.0, 7.5, 6.5, 7.5, 6.5, 6.5]"
,Rock'n'Roll-Beginners,Final,3,182,sm,0.9,2.3,"[0.0, 0.0, 0.0, -2.0, -2.0, 0.0, 0.0]"
yes,Rock'n'Roll-Beginners,Final,3,182,bm,4.95,3.0,"[-10.0, -10.0, -10.0, 0.0, 0.0, -10.0, 0.0]"
yes,Rock'n'Roll-Beginners,Final,4,7,DF,2.87,2.0,"[10.0, 2.5, 7.5, 8.75, 10.0, 12.5, 8.75]"
