anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,143,Rock'n'Roll-Juveniles,First round,1,153,FW,4.9,12.0,0.4083333333333334,"[-35.0, -25.0, -35.0, -35.0, -25.0]"
,143,Rock'n'Roll-Juveniles,First round,1,153,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,First round,1,153,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yes,143,Rock'n'Roll-Juveniles,First round,1,155,DF,2.03,2.0,1.015,"[10.0, 6.25, 7.5, 11.25, 6.25]"
,143,Rock'n'Roll-Juveniles,First round,1,155,CO,1.6,2.0,0.8,"[6.0, 6.0, 8.0, 6.0, 3.0]"
,143,Rock'n'Roll-Juveniles,First round,1,155,FM,1.46,2.0,0.73,"[6.5, 5.0, 5.0, 6.5, 2.5]"
,143,Rock'n'Roll-Juveniles,First round,1,155,FW,8.0,12.0,0.6666666666666666,"[-25.0, -35.0, -35.0, -35.0, -50.0]"
,143,Rock'n'Roll-Juveniles,First round,1,155,sm,1.6,2.3,0.6956521739130436,"[0.0, -4.0, 0.0, -2.0, 0.0]"
,143,Rock'n'Roll-Juveniles,First round,1,155,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,First round,2,135,DF,1.46,2.0,0.73,"[10.0, 8.75, 11.25, 12.5, 12.5]"
,143,Rock'n'Roll-Juveniles,First round,2,135,CO,1.41,2.0,0.705,"[8.0, 6.0, 9.0, 10.0, 7.0]"
,143,Rock'n'Roll-Juveniles,First round,2,135,FM,1.02,2.0,0.51,"[6.5, 6.5, 9.0, 8.5, 7.5]"
,143,Rock'n'Roll-Juveniles,First round,2,135,FW,6.0,12.0,0.5,"[-25.0, -15.0, -10.0, -15.0, -25.0]"
,143,Rock'n'Roll-Juveniles,First round,2,135,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,First round,2,135,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,First round,2,182,DF,0.79,2.0,0.395,"[13.75, 12.5, 12.5, 11.25, 12.5]"
,143,Rock'n'Roll-Juveniles,First round,2,182,CO,0.75,2.0,0.375,"[10.0, 8.0, 9.0, 9.0, 10.0]"
,143,Rock'n'Roll-Juveniles,First round,2,182,FM,0.63,2.0,0.315,"[7.5, 8.5, 7.5, 6.5, 7.5]"
,143,Rock'n'Roll-Juveniles,First round,2,182,FW,2.45,12.0,0.2041666666666667,"[-10.0, -15.0, -15.0, -15.0, -10.0]"
,143,Rock'n'Roll-Juveniles,First round,2,182,sm,0.8,2.3,0.3478260869565218,"[0.0, 0.0, -2.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,First round,2,182,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yes,143,Rock'n'Roll-Juveniles,First round,3,78,DF,2.18,2.0,1.09,"[16.25, 13.75, 11.25, 13.75, 17.5]"
,143,Rock'n'Roll-Juveniles,First round,3,78,CO,1.47,2.0,0.735,"[12.0, 9.0, 9.0, 12.0, 12.0]"
,143,Rock'n'Roll-Juveniles,First round,3,78,FM,0.68,2.0,0.34,"[9.5, 7.5, 8.5, 9.0, 9.0]"
,143,Rock'n'Roll-Juveniles,First round,3,78,FW,3.16,12.0,0.26333333333333336,"[-5.0, -10.0, -15.0, -10.0, -10.0]"
,143,Rock'n'Roll-Juveniles,First round,3,78,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,First round,3,78,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yes,143,Rock'n'Roll-Juveniles,First round,3,149,DF,2.09,2.0,1.045,"[11.25, 10.0, 8.75, 11.25, 15.0]"
,143,Rock'n'Roll-Juveniles,First round,3,149,CO,1.33,2.0,0.665,"[8.0, 7.0, 9.0, 9.0, 11.0]"
,143,Rock'n'Roll-Juveniles,First round,3,149,FM,0.98,2.0,0.49,"[8.5, 6.5, 6.5, 8.5, 8.5]"
,143,Rock'n'Roll-Juveniles,First round,3,149,FW,4.0,12.0,0.3333333333333333,"[-15.0, -15.0, -25.0, -15.0, -15.0]"
,143,Rock'n'Roll-Juveniles,First round,3,149,sm,0.8,2.3,0.3478260869565218,"[-2.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,First round,3,149,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yes,143,Rock'n'Roll-Juveniles,First round,4,7,DF,2.85,2.0,1.425,"[10.0, 6.25, 10.0, 8.75, 2.5]"
yes,143,Rock'n'Roll-Juveniles,First round,4,7,CO,2.32,2.0,1.16,"[7.0, 4.0, 9.0, 8.0, 3.0]"
,143,Rock'n'Roll-Juveniles,First round,4,7,FM,1.87,2.0,0.935,"[7.5, 5.0, 7.5, 5.0, 2.5]"
yes,143,Rock'n'Roll-Juveniles,First round,4,7,FW,12.88,12.0,1.0733333333333335,"[-15.0, -50.0, -35.0, -35.0, -50.0]"
,143,Rock'n'Roll-Juveniles,First round,4,7,sm,0.98,2.3,0.42608695652173917,"[-2.0, 0.0, 0.0, -2.0, 0.0]"
,143,Rock'n'Roll-Juveniles,First round,4,7,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yes,143,Rock'n'Roll-Juveniles,First round,4,235,DF,2.78,2.0,1.39,"[16.25, 12.5, 8.75, 16.25, 13.75]"
,143,Rock'n'Roll-Juveniles,First round,4,235,CO,1.94,2.0,0.97,"[11.0, 9.0, 8.0, 13.0, 8.0]"
,143,Rock'n'Roll-Juveniles,First round,4,235,FM,0.97,2.0,0.485,"[9.0, 8.5, 7.5, 9.0, 6.5]"
,143,Rock'n'Roll-Juveniles,First round,4,235,FW,7.35,12.0,0.6124999999999999,"[-10.0, -25.0, -25.0, -10.0, -25.0]"
,143,Rock'n'Roll-Juveniles,First round,4,235,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,First round,4,235,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,Final,1,153,DF,1.7,2.0,0.85,"[11.25, 10.0, 6.25, 10.0, 8.75]"
,143,Rock'n'Roll-Juveniles,Final,1,153,CO,0.49,2.0,0.245,"[7.0, 8.0, 7.0, 8.0, 7.0]"
,143,Rock'n'Roll-Juveniles,Final,1,153,FM,0.49,2.0,0.245,"[7.5, 7.5, 6.5, 7.5, 6.5]"
,143,Rock'n'Roll-Juveniles,Final,1,153,FW,7.35,12.0,0.6124999999999999,"[-35.0, -35.0, -50.0, -35.0, -50.0]"
,143,Rock'n'Roll-Juveniles,Final,1,153,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,Final,1,153,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,Final,2,182,DF,1.12,2.0,0.56,"[13.75, 12.5, 11.25, 13.75, 11.25]"
,143,Rock'n'Roll-Juveniles,Final,2,182,CO,1.72,2.0,0.86,"[9.0, 8.0, 10.0, 13.0, 9.0]"
,143,Rock'n'Roll-Juveniles,Final,2,182,FM,0.49,2.0,0.245,"[7.5, 6.5, 7.5, 7.5, 6.5]"
yes,143,Rock'n'Roll-Juveniles,Final,2,182,FW,14.35,12.0,1.1958333333333333,"[-10.0, -15.0, -15.0, -25.0, -50.0]"
,143,Rock'n'Roll-Juveniles,Final,2,182,sm,0.8,2.3,0.3478260869565218,"[-2.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,Final,2,182,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yes,143,Rock'n'Roll-Juveniles,Final,3,149,DF,2.32,2.0,1.16,"[11.25, 10.0, 13.75, 16.25, 15.0]"
,143,Rock'n'Roll-Juveniles,Final,3,149,CO,1.72,2.0,0.86,"[7.0, 9.0, 10.0, 12.0, 11.0]"
,143,Rock'n'Roll-Juveniles,Final,3,149,FM,1.36,2.0,0.68,"[7.5, 5.0, 8.5, 8.5, 8.5]"
,143,Rock'n'Roll-Juveniles,Final,3,149,FW,8.0,12.0,0.6666666666666666,"[-35.0, -15.0, -15.0, -15.0, -15.0]"
,143,Rock'n'Roll-Juveniles,Final,3,149,sm,1.6,2.3,0.6956521739130436,"[-4.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,Final,3,149,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,Final,4,78,DF,1.87,2.0,0.935,"[18.75, 13.75, 15.0, 16.25, 13.75]"
yes,143,Rock'n'Roll-Juveniles,Final,4,78,CO,2.04,2.0,1.02,"[13.0, 11.0, 13.0, 15.0, 9.0]"
,143,Rock'n'Roll-Juveniles,Final,4,78,FM,0.68,2.0,0.34,"[9.5, 8.5, 9.0, 9.0, 7.5]"
,143,Rock'n'Roll-Juveniles,Final,4,78,FW,6.0,12.0,0.5,"[-10.0, -10.0, -10.0, -10.0, -25.0]"
,143,Rock'n'Roll-Juveniles,Final,4,78,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,Final,4,78,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yes,143,Rock'n'Roll-Juveniles,Final,5,235,DF,2.09,2.0,1.045,"[16.25, 12.5, 12.5, 11.25, 10.0]"
,143,Rock'n'Roll-Juveniles,Final,5,235,CO,0.89,2.0,0.445,"[11.0, 9.0, 11.0, 10.0, 9.0]"
,143,Rock'n'Roll-Juveniles,Final,5,235,FM,1.16,2.0,0.58,"[9.0, 8.5, 6.5, 9.0, 6.5]"
,143,Rock'n'Roll-Juveniles,Final,5,235,FW,8.0,12.0,0.6666666666666666,"[-15.0, -15.0, -25.0, -15.0, -35.0]"
,143,Rock'n'Roll-Juveniles,Final,5,235,sm,0.8,2.3,0.3478260869565218,"[-2.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,Final,5,235,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yes,143,Rock'n'Roll-Juveniles,Final,6,135,DF,2.32,2.0,1.16,"[13.75, 8.75, 12.5, 11.25, 7.5]"
,143,Rock'n'Roll-Juveniles,Final,6,135,CO,1.6,2.0,0.8,"[9.0, 7.0, 11.0, 10.0, 7.0]"
,143,Rock'n'Roll-Juveniles,Final,6,135,FM,0.8,2.0,0.4,"[6.5, 6.5, 7.5, 6.5, 5.0]"
,143,Rock'n'Roll-Juveniles,Final,6,135,FW,7.48,12.0,0.6233333333333334,"[-25.0, -15.0, -25.0, -15.0, -35.0]"
,143,Rock'n'Roll-Juveniles,Final,6,135,sm,0.8,2.3,0.3478260869565218,"[-2.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juveniles,Final,6,135,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juniors,Final,1,494,DF,1.72,2.0,0.86,"[12.0, 15.0, 11.0, 13.0, 10.0]"
,143,Rock'n'Roll-Juniors,Final,1,494,CO,1.41,2.0,0.705,"[10.0, 12.0, 11.0, 13.0, 9.0]"
,143,Rock'n'Roll-Juniors,Final,1,494,FM,0.68,2.0,0.34,"[9.0, 9.5, 7.5, 9.0, 9.0]"
,143,Rock'n'Roll-Juniors,Final,1,494,FW,6.63,12.0,0.5525,"[-15.0, -5.0, -25.0, -10.0, -15.0]"
,143,Rock'n'Roll-Juniors,Final,1,494,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juniors,Final,1,494,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juniors,Final,2,491,DF,1.2,2.0,0.6,"[15.0, 13.0, 13.0, 15.0, 12.0]"
yes,143,Rock'n'Roll-Juniors,Final,2,491,CO,2.42,2.0,1.21,"[14.0, 12.0, 11.0, 18.0, 13.0]"
,143,Rock'n'Roll-Juniors,Final,2,491,FM,0.32,2.0,0.16,"[9.5, 9.0, 8.5, 9.0, 9.0]"
,143,Rock'n'Roll-Juniors,Final,2,491,FW,3.74,12.0,0.3116666666666667,"[-5.0, -5.0, -15.0, -10.0, -10.0]"
,143,Rock'n'Roll-Juniors,Final,2,491,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
,143,Rock'n'Roll-Juniors,Final,2,491,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yes,143,Rock'n'Roll-Juniors,Final,3,430,DF,2.73,2.0,1.365,"[12.0, 12.0, 12.0, 11.0, 5.0]"
,143,Rock'n'Roll-Juniors,Final,3,430,CO,1.72,2.0,0.86,"[10.0, 9.0, 10.0, 11.0, 6.0]"
,143,Rock'n'Roll-Juniors,Final,3,430,FM,1.46,2.0,0.73,"[8.5, 9.0, 8.5, 8.5, 5.0]"
