Summary

Number of anomalies per part,nb of anomalies, nb of analysis made,percentage of anomalies
Dancing part,19,378,5%
Acrobatic part,6,126,5%

Number of anomalies per criteria,nb of anomalies, nb of analysis made,percentage of anomalies
Footwork woman (FW),8,63,13%
Dance Figure (DF),3,63,5%
Big mistakes (BM),3,63,5%
Acrobatic figure (Acro 1 to 6),6,126,5%
Small mistakes (SM),2,63,3%
Choregraphy (CO),2,63,3%
Footwork man (FM),1,63,2%

Number of anomalies per group,nb of anomalies, nb of analysis made,percentage of anomalies
Juniors,7,102,7%
Formations,5,96,5%
Adults,13,306,4%

Top 5 anomalies
Rock'n'Roll-Main Class Contact Style,Acro 6,Final - Acrobatic,Heat 6 Stn. 362,[-100.0 -15.0 -15.0]
Rock'n'Roll-Main Class Start,Acro 4,Final,Heat 4 Stn. 28,[-15.0 -75.0 -75.0]
Rock'n'Roll-Main Class Start,Acro 5,Final,Heat 4 Stn. 28,[-75.0 -25.0 -25.0]
Rock'n'Roll-Small Formation Juniors,FW,Final,Heat 3 Stn. 229,[-25.0 -35.0 -35.0 -15.0 -75.0]
Rock'n'Roll-Main Class Contact Style,FW,Final - Acrobatic,Heat 5 Stn. 148,[-62.5 -55.0 -100.0]

