anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
yes,144,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,4,15,bm,18.86,8.0,2.3575,"[0.0, 0.0, -40.0]"
,144,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,5,263,DF,0.0,2.0,0.0,"[4.375, 4.375, 4.375]"
,144,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,5,263,CO,0.0,2.0,0.0,"[4.5, 4.5, 4.5]"
,144,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,5,263,FM,0.59,2.0,0.295,"[2.5, 2.5, 1.25]"
,144,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,5,263,FW,3.54,12.0,0.295,"[-67.5, -67.5, -75.0]"
,144,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,5,263,sm,0.94,2.3,0.40869565217391307,"[0.0, 0.0, -2.0]"
,144,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,5,263,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0]"
,144,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,6,184,DF,0.29,2.0,0.145,"[6.875, 7.5, 7.5]"
,144,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,6,184,CO,0.85,2.0,0.425,"[5.5, 7.5, 6.0]"
,144,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,6,184,FM,0.31,2.0,0.155,"[4.25, 4.5, 3.75]"
,144,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,6,184,FW,2.36,12.0,0.19666666666666666,"[-62.5, -57.5, -57.5]"
,144,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,6,184,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0]"
,144,Rock'n'Roll-Main Class Free Style,Final - Acrobatic,6,184,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0]"
,144,Rock'n'Roll-Main Class Start,Final,1,142,Acro 1,8.16,12.0,0.68,"[-25.0, -35.0, -15.0]"
,144,Rock'n'Roll-Main Class Start,Final,1,142,Acro 2,4.71,12.0,0.3925,"[-15.0, -15.0, -5.0]"
,144,Rock'n'Roll-Main Class Start,Final,1,142,Acro 3,4.71,12.0,0.3925,"[-25.0, -35.0, -25.0]"
,144,Rock'n'Roll-Main Class Start,Final,1,142,Acro 4,11.79,12.0,0.9824999999999999,"[-50.0, -50.0, -25.0]"
yes,144,Rock'n'Roll-Main Class Start,Final,1,142,Acro 5,14.72,12.0,1.2266666666666668,"[-25.0, -15.0, -50.0]"
yes,144,Rock'n'Roll-Main Class Start,Final,1,142,Acro 6,18.86,12.0,1.5716666666666665,"[-35.0, -75.0, -75.0]"
yes,144,Rock'n'Roll-Main Class Start,Final,2,176,Acro 1,14.34,12.0,1.195,"[-35.0, -50.0, -15.0]"
,144,Rock'n'Roll-Main Class Start,Final,2,176,Acro 2,4.71,12.0,0.3925,"[-35.0, -35.0, -25.0]"
,144,Rock'n'Roll-Main Class Start,Final,2,176,Acro 3,2.36,12.0,0.19666666666666666,"[-15.0, -15.0, -10.0]"
,144,Rock'n'Roll-Main Class Start,Final,2,176,Acro 4,10.27,12.0,0.8558333333333333,"[-25.0, -35.0, -50.0]"
,144,Rock'n'Roll-Main Class Start,Final,2,176,Acro 5,11.79,12.0,0.9824999999999999,"[-75.0, -100.0, -75.0]"
,144,Rock'n'Roll-Main Class Start,Final,2,176,Acro 6,4.71,12.0,0.3925,"[-25.0, -35.0, -25.0]"
,144,Rock'n'Roll-Main Class Start,Final,3,28,Acro 1,2.36,12.0,0.19666666666666666,"[-15.0, -10.0, -10.0]"
,144,Rock'n'Roll-Main Class Start,Final,3,28,Acro 2,4.71,12.0,0.3925,"[-25.0, -15.0, -15.0]"
,144,Rock'n'Roll-Main Class Start,Final,3,28,Acro 3,4.71,12.0,0.3925,"[-25.0, -25.0, -35.0]"
,144,Rock'n'Roll-Main Class Start,Final,3,28,Acro 4,8.16,12.0,0.68,"[-15.0, -35.0, -25.0]"
,144,Rock'n'Roll-Main Class Start,Final,3,28,Acro 5,4.71,12.0,0.3925,"[-15.0, -25.0, -15.0]"
,144,Rock'n'Roll-Main Class Start,Final,3,28,Acro 6,4.71,12.0,0.3925,"[-15.0, -25.0, -25.0]"
,144,Rock'n'Roll-Main Class Start,Final,4,36,Acro 1,6.24,12.0,0.52,"[-25.0, -15.0, -10.0]"
,144,Rock'n'Roll-Main Class Start,Final,4,36,Acro 2,4.71,12.0,0.3925,"[-15.0, -25.0, -15.0]"
,144,Rock'n'Roll-Main Class Start,Final,4,36,Acro 3,9.43,12.0,0.7858333333333333,"[-15.0, -35.0, -35.0]"
,144,Rock'n'Roll-Main Class Start,Final,4,36,Acro 4,4.71,12.0,0.3925,"[-15.0, -25.0, -25.0]"
,144,Rock'n'Roll-Main Class Start,Final,4,36,Acro 5,11.79,12.0,0.9824999999999999,"[-25.0, -50.0, -25.0]"
yes,144,Rock'n'Roll-Main Class Start,Final,4,36,Acro 6,16.5,12.0,1.375,"[-35.0, -75.0, -50.0]"
,144,Rock'n'Roll-Main Class Start,Final,5,371,Acro 1,4.71,12.0,0.3925,"[-15.0, -25.0, -25.0]"
,144,Rock'n'Roll-Main Class Start,Final,5,371,Acro 2,4.71,12.0,0.3925,"[-25.0, -35.0, -35.0]"
,144,Rock'n'Roll-Main Class Start,Final,5,371,Acro 3,11.79,12.0,0.9824999999999999,"[-50.0, -75.0, -50.0]"
,144,Rock'n'Roll-Main Class Start,Final,5,371,Acro 4,4.71,12.0,0.3925,"[-35.0, -25.0, -25.0]"
,144,Rock'n'Roll-Main Class Start,Final,5,371,Acro 5,11.79,12.0,0.9824999999999999,"[-50.0, -75.0, -50.0]"
yes,144,Rock'n'Roll-Main Class Start,Final,5,371,Acro 6,16.5,12.0,1.375,"[-35.0, -75.0, -50.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,1,362,Acro 1,2.36,12.0,0.19666666666666666,"[-10.0, -5.0, -5.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,1,362,Acro 2,2.36,12.0,0.19666666666666666,"[-10.0, -10.0, -5.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,1,362,Acro 3,0.0,12.0,0.0,"[-10.0, -10.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,1,362,Acro 4,2.36,12.0,0.19666666666666666,"[-10.0, -15.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,1,362,Acro 5,0.0,12.0,0.0,"[-15.0, -15.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,1,362,Acro 6,0.0,12.0,0.0,"[-1.0, -1.0, -1.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,1,181,Acro 1,4.08,12.0,0.34,"[-15.0, -10.0, -5.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,1,181,Acro 2,2.36,12.0,0.19666666666666666,"[-15.0, -10.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,1,181,Acro 3,4.71,12.0,0.3925,"[-15.0, -15.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,1,181,Acro 4,2.36,12.0,0.19666666666666666,"[-15.0, -15.0, -10.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,1,181,Acro 5,0.0,12.0,0.0,"[-25.0, -25.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,1,181,Acro 6,0.0,12.0,0.0,"[-1.0, -1.0, -1.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,2,225,Acro 1,4.71,12.0,0.3925,"[-15.0, -25.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,2,225,Acro 2,4.71,12.0,0.3925,"[-15.0, -25.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,2,225,Acro 3,4.71,12.0,0.3925,"[-25.0, -35.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,2,225,Acro 4,4.71,12.0,0.3925,"[-35.0, -35.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,2,225,Acro 5,0.0,12.0,0.0,"[-75.0, -75.0, -75.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,2,225,Acro 6,0.0,12.0,0.0,"[-1.0, -1.0, -1.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,2,317,Acro 1,0.0,12.0,0.0,"[-25.0, -25.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,2,317,Acro 2,6.24,12.0,0.52,"[-15.0, -10.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,2,317,Acro 3,8.16,12.0,0.68,"[-35.0, -15.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,2,317,Acro 4,0.0,12.0,0.0,"[-25.0, -25.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,2,317,Acro 5,0.0,12.0,0.0,"[-25.0, -25.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,2,317,Acro 6,0.0,12.0,0.0,"[-1.0, -1.0, -1.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,3,224,Acro 1,4.71,12.0,0.3925,"[-35.0, -25.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,3,224,Acro 2,4.71,12.0,0.3925,"[-25.0, -25.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,3,224,Acro 3,8.16,12.0,0.68,"[-15.0, -35.0, -25.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,3,224,Acro 4,4.71,12.0,0.3925,"[-15.0, -25.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,3,224,Acro 5,6.24,12.0,0.52,"[-10.0, -25.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,3,224,Acro 6,0.0,12.0,0.0,"[-1.0, -1.0, -1.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,3,71,Acro 1,4.71,12.0,0.3925,"[-25.0, -15.0, -15.0]"
,144,Rock'n'Roll-Main Class Contact Style,First round,3,71,Acro 2,0.0,12.0,0.0,"[-15.0, -15.0, -15.0]"
